ClusterID	cellType
13	AT1
16	AT1
10	AT2
29	AT2
0	AT2
28	AT2
25	AT2_loSFTPC
4	AT2_loSFTPC
21	AT2_loSFTPC
26	AT2_loSFTPC
32	AT2_loSFTPC
17	AT2_loSFTPC
24	Clara
19	Ciliated
33	BASC
1	BASC
5	BASC
30	BASC
6	endo
20	endo
15	endo
2	endo
14	endo
7	endo
22	endo
3	endo
31	endo
8	fibro
9	fibro
11	fibro
12	fibro
18	fibro
23	fibro
27	fibro
