Symbol	cellType
COL6A6	CAF_S1
CPZ	CAF_S1
FLRT2	CAF_S1
NEGR1	CAF_S1
BMPER	CAF_S1
LOC255480	CAF_S1
CXCL12	CAF_S1
HTRA3	CAF_S1
DIO2	CAF_S1
TNNT3	CAF_S1
COL6A3	CAF_S1
KCNK2	CAF_S1
KERA	CAF_S1
COL11A1	CAF_S1
STMN2	CAF_S1
SYNDIG1	CAF_S1
ISLR	CAF_S1
COL10A1	CAF_S1
ADH1B	CAF_S1
OMD	CAF_S1
GAS1	CAF_S1
PTX3	CAF_S1
FLNC	CAF_S1
SPON1	CAF_S1
CST1	CAF_S1
CNTN3	CAF_S1
COMP	CAF_S1
CD177	CAF_S1
MFAP4	CAF_S1
LSP1	CAF_S1
F13A1	CAF_S1
PLA2G2A	CAF_S1
GDF10	CAF_S1
UST	CAF_S1
FHAD1	CAF_S1
OGN	CAF_S1
LIPG	CAF_S1
SORCS2	CAF_S1
FGF7	CAF_S1
ABCA9	CAF_S1
WISP2	CAF_S1
BEND6	CAF_S1
ADH1C	CAF_S1
GRIA3	CAF_S1
FAT4	CAF_S1
FNDC1	CAF_S1
SCARA5	CAF_S1
IGFL2	CAF_S1
KIAA1199	CAF_S1
PI16	CAF_S1
LOC728640	CAF_S1
C3orf55	CAF_S1
AOX1	CAF_S1
CLCN4	CAF_S1
HS3ST3A1	CAF_S1
TMEM176B	CAF_S1
CST2	CAF_S1
FBN1	CAF_S1
GXYLT2	CAF_S1
FGL2	CAF_S1
GABRB2	CAF_S1
COL3A1	CAF_S1
SLC1A7	CAF_S1
ACACB	Normal_Fibroblast
ACSM5	Normal_Fibroblast
ADAMTS5	Normal_Fibroblast
ADRB1	Normal_Fibroblast
AGTR1	Normal_Fibroblast
AKR1C4	Normal_Fibroblast
ANKRD20A4	Normal_Fibroblast
ANKRD31	Normal_Fibroblast
AQP7	Normal_Fibroblast
ARHGAP6	Normal_Fibroblast
ASPA	Normal_Fibroblast
ATOH8	Normal_Fibroblast
ATP1A2	Normal_Fibroblast
ATP8B4	Normal_Fibroblast
BMP5	Normal_Fibroblast
C1QTNF7	Normal_Fibroblast
C4orf32	Normal_Fibroblast
CA3	Normal_Fibroblast
CAB39L	Normal_Fibroblast
CADM3	Normal_Fibroblast
CCDC69	Normal_Fibroblast
CD14	Normal_Fibroblast
CD34	Normal_Fibroblast
CD36	Normal_Fibroblast
CDH6	Normal_Fibroblast
CDHR3	Normal_Fibroblast
CDHR4	Normal_Fibroblast
CHRDL1	Normal_Fibroblast
CIDEC	Normal_Fibroblast
CLEC3B	Normal_Fibroblast
COL21A1	Normal_Fibroblast
COX4I2	Normal_Fibroblast
CTSG	Normal_Fibroblast
CYP21A2	Normal_Fibroblast
CYP3A5	Normal_Fibroblast
CYP4B1	Normal_Fibroblast
CYP4F12	Normal_Fibroblast
CYP4X1	Normal_Fibroblast
DACT2	Normal_Fibroblast
DGAT2	Normal_Fibroblast
DGKB	Normal_Fibroblast
DNASE1L3	Normal_Fibroblast
DPY19L2	Normal_Fibroblast
EBF2	Normal_Fibroblast
EBF3	Normal_Fibroblast
ECM2	Normal_Fibroblast
ESAM	Normal_Fibroblast
F10	Normal_Fibroblast
FAM162B	Normal_Fibroblast
FAM180B	Normal_Fibroblast
FBLN5	Normal_Fibroblast
