Symbol	CellType	Source	index	duplicated	prior
BST1	Monocytes	LM22	696	0	1
BST2	Tregs	Tirosh	1564	0	1
BTNL8	Neutrophils	LM22	1084	0	1
BUB3	Tregs	Tirosh	1554	0	1
C11orf80	Plasma_cells	LM22	127	0	1
C17orf49	Tregs	Tirosh	1552	0	1
C1orf162	Macrophages	Tirosh	1291	0	1
C1orf54	DC_resting	LM22	864	0	1
C1QA	Macrophages	Tirosh	1215	0	1
C1QB	Macrophages	Tirosh	1220	0	1
C1QC	Macrophages	Tirosh	1213	0	1
C1R	CAFs	Tirosh	1454	0	1
C1S	CAFs	Tirosh	1442	0	1
C3	CAFs	Tirosh	1457	0	1
C3AR1	Blast_cells_rest	LM22	959	1	0
C3AR1	Eosinophils	LM22	1034	2	0
C3AR1	Macrophages	Tirosh	1245	2	0
C3AR1	Tregs	Tirosh	1665	1	0
C5AR1	Macrophages	Tirosh	1242	1	0
C5AR1	Macrophages_M0	LM22	747	2	0
C5AR1	Monocytes	LM22	697	2	0
C5AR1	Neutrophils	LM22	1085	1	0
C5AR2	Eosinophils	LM22	1035	0	1
CA12	CAFs	Tirosh	1426	0	1
CA8	Tcells_helper	LM22	398	0	1
CACNA2D2	Lung_specific	Protein_atlas	1779	0	1
CACYBP	Tregs	Tirosh	1707	0	1
CALB2	Mesothelium	Bin	1777	0	1
CALM3	Tregs	Tirosh	1598	0	1
CAMP	Neutrophils	LM22	1086	1	0
CAMP	NK_resting	LM22	577	1	0
CAP1	Tregs	Tirosh	1640	0	1
CASP5	Neutrophils	LM22	1087	0	1
CAST	Tregs	Tirosh	1652	0	1
CBLB	Tcells	Tirosh	1176	0	1
CCBP2	Endothelial_cells	Tirosh	1338	0	1
CCDC102B	DC_resting	LM22	865	1	0
CCDC102B	Macrophages_M0	LM22	748	1	0
CCDC80	CAFs	Tirosh	1467	0	1
CCL1	Blast_cells_activated	LM22	994	1	0
CCL1	DC_activated	LM22	903	1	0
CCL13	DC_activated	LM22	904	1	0
CCL13	DC_resting	LM22	866	2	0
CCL13	Macrophages_M2	LM22	827	1	0
CCL13	DC	Danaher	1847	1	0
CCL14	Endothelial_cells	Tirosh	1309	1	0
CCL14	Macrophages_M2	LM22	828	1	0
CCL17	DC_activated	LM22	905	1	1
CCL17	DC_resting	LM22	867	1	1
CCL18	DC_activated	LM22	906	1	1
CCL18	DC_resting	LM22	868	2	1
CCL18	Macrophages_M0	LM22	749	2	1
CCL18	Macrophages_M2	LM22	829	1	1
CCL19	DC_activated	LM22	907	1	1
CCL19	Macrophages_M1	LM22	783	1	1
CCL20	Blast_cells_activated	LM22	995	1	0
CCL20	CD4_memory_act_Tcells	LM22	356	2	0
CCL20	DC_activated	LM22	908	1	0
CCL22	DC_activated	LM22	909	1	0
CCL22	DC_resting	LM22	869	2	0
CCL22	Macrophages_M0	LM22	750	1	0
CCL23	Macrophages_M2	LM22	830	0	1
CCL4	Blast_cells_activated	LM22	996	1	0
CCL4	NK_activated	LM22	634	1	0
CCL5	CD4_memory_rest_Tcells	LM22	293	1	0
CCL5	CD8_Tcells	LM22	173	2	0
CCL5	DC_activated	LM22	910	2	0
CCL5	Macrophages_M1	LM22	784	2	0
CCL5	NK_activated	LM22	635	2	0
CCL5	NK_resting	LM22	578	2	0
CCL5	Tcells	Tirosh	1165	2	0
CCL5	Tcells_gamma_delta	LM22	519	1	0
CCL7	Macrophages_M0	LM22	751	0	1
CCL8	DC_activated	LM22	911	1	0
