Symbol	cellType	Source
LBH	hNK_Sp2	Crinier_TableS3
CD74	hNK_Sp2	Crinier_TableS3
YPEL5	hNK_Sp2	Crinier_TableS3
CCL3L3	hNK_Sp2	Crinier_TableS3
WDR43	hNK_Sp2	Crinier_TableS3
ADGRE5	hNK_Sp2	Crinier_TableS3
CD7	hNK_Sp2	Crinier_TableS3
RGL4	hNK_Sp2	Crinier_TableS3
OTULIN	hNK_Sp2	Crinier_TableS3
GADD45G	hNK_Sp2	Crinier_TableS3
TIGIT	hNK_Sp2	Crinier_TableS3
EML4	hNK_Sp2	Crinier_TableS3
BZW1	hNK_Sp2	Crinier_TableS3
CRTAM	hNK_Sp2	Crinier_TableS3
OTUD4	hNK_Sp2	Crinier_TableS3
RNF168	hNK_Sp2	Crinier_TableS3
SURF4	hNK_Sp2	Crinier_TableS3
RNU12	hNK_Sp2	Crinier_TableS3
CORO1A	hNK_Sp2	Crinier_TableS3
ICAM1	hNK_Sp2	Crinier_TableS3
KLRC1	hNK_Sp2	Crinier_TableS3
LAT2	hNK_Sp2	Crinier_TableS3
HSPD1	hNK_Sp2	Crinier_TableS3
CCT4	hNK_Sp2	Crinier_TableS3
PLP2	hNK_Sp2	Crinier_TableS3
RP11-386I14.4	hNK_Sp2	Crinier_TableS3
TMEM2	hNK_Sp2	Crinier_TableS3
LPIN1	hNK_Sp2	Crinier_TableS3
NELFCD	hNK_Sp2	Crinier_TableS3
CDC37	hNK_Sp2	Crinier_TableS3
SMS	hNK_Sp2	Crinier_TableS3
ELOVL5	hNK_Sp2	Crinier_TableS3
ATF4	hNK_Sp2	Crinier_TableS3
EIF4A3	hNK_Sp2	Crinier_TableS3
GYPC	hNK_Sp2	Crinier_TableS3
HNRNPC	hNK_Sp2	Crinier_TableS3
UROS	hNK_Sp2	Crinier_TableS3
IL32	hNK_Sp2	Crinier_TableS3
MAP3K8	hNK_Sp2	Crinier_TableS3
OFD1	hNK_Sp2	Crinier_TableS3
CLDND1	hNK_Sp2	Crinier_TableS3
RBM38	hNK_Sp2	Crinier_TableS3
IL7R	hNK_Sp3	Crinier_TableS3
DUSP4	hNK_Sp3	Crinier_TableS3
CD52	hNK_Sp3	Crinier_TableS3
GPR183	hNK_Sp3	Crinier_TableS3
SELL	hNK_Sp3	Crinier_TableS3
CD44	hNK_Sp3	Crinier_TableS3
CAPG	hNK_Sp3	Crinier_TableS3
HLA-DRB1	hNK_Sp3	Crinier_TableS3
LTB	hNK_Sp3	Crinier_TableS3
YBX3	hNK_Sp3	Crinier_TableS3
LMNA	hNK_Sp3	Crinier_TableS3
COTL1	hNK_Sp3	Crinier_TableS3
KLRC2	hNK_Sp3	Crinier_TableS3
HLA-DRA	hNK_Sp3	Crinier_TableS3
HLA-DRB5	hNK_Sp3	Crinier_TableS3
RPLP0	hNK_Sp3	Crinier_TableS3
RPL22	hNK_Sp3	Crinier_TableS3
CXCR3	hNK_Sp3	Crinier_TableS3
RPL4	hNK_Sp3	Crinier_TableS3
RGCC	hNK_Sp3	Crinier_TableS3
CARD19	hNK_Sp3	Crinier_TableS3
DFNB31	hNK_Sp3	Crinier_TableS3
GATA3	hNK_Sp3	Crinier_TableS3
TAGLN2	hNK_Sp3	Crinier_TableS3
TCF7	hNK_Sp3	Crinier_TableS3
MTRNR2L10	hNK_Sp3	Crinier_TableS3
EEF1B2	hNK_Sp3	Crinier_TableS3
RPL17	hNK_Sp3	Crinier_TableS3
VIM	hNK_Sp3	Crinier_TableS3
NAP1L1	hNK_Sp3	Crinier_TableS3
EML4	hNK_Sp3	Crinier_TableS3
PLP2	hNK_Sp3	Crinier_TableS3
AHNAK	hNK_Sp3	Crinier_TableS3
NSA2	hNK_Sp3	Crinier_TableS3
TMEM123	hNK_Sp3	Crinier_TableS3
GLTSCR2	hNK_Sp3	Crinier_TableS3
GZMK	hNK_Sp3	Crinier_TableS3
MTRNR2L8	hNK_Sp3	Crinier_TableS3
TTC30B	hNK_Sp4	Crinier_TableS3
TXNIP	hNK_Sp4	Crinier_TableS3
LINC01011	hNK_Sp4	Crinier_TableS3
ARRDC3	hNK_Sp4	Crinier_TableS3
GIMAP7	hNK_Sp4	Crinier_TableS3
C14orf119	hNK_Sp4	Crinier_TableS3
MZF1-AS1	hNK_Sp4	Crinier_TableS3
SDF2	hNK_Sp4	Crinier_TableS3
INPP5F	hNK_Sp4	Crinier_TableS3
API5	hNK_Sp4	Crinier_TableS3
JUN	hNK_Sp4	Crinier_TableS3
LINC00909	hNK_Sp4	Crinier_TableS3
MRPS18B	hNK_Sp4	Crinier_TableS3
GLT8D1	hNK_Sp4	Crinier_TableS3
NIFK-AS1	hNK_Sp4	Crinier_TableS3
HIPK1-AS1	hNK_Sp4	Crinier_TableS3
UBA7	hNK_Sp4	Crinier_TableS3
RP11-191L17.1	hNK_Sp4	Crinier_TableS3
RP11-620J15.3	hNK_Sp4	Crinier_TableS3
CHST2	hNK_Sp4	Crinier_TableS3
SLFN5	hNK_Sp4	Crinier_TableS3
ATP11C	hNK_Sp4	Crinier_TableS3
RNASEH2B	hNK_Sp4	Crinier_TableS3
PREPL	hNK_Sp4	Crinier_TableS3
CBR1	hNK_Sp4	Crinier_TableS3
RP11-108M9.6	hNK_Sp4	Crinier_TableS3
GIMAP6	hNK_Sp4	Crinier_TableS3
TDG	hNK_Sp4	Crinier_TableS3
PPP1R10	hNK_Sp4	Crinier_TableS3
RP11-1017G21.5	hNK_Sp4	Crinier_TableS3
OSBPL5	hNK_Sp4	Crinier_TableS3
KIN	hNK_Sp4	Crinier_TableS3
CX3CR1	hNK_Sp4	Crinier_TableS3
C17orf62	hNK_Sp4	Crinier_TableS3
SHPRH	hNK_Sp4	Crinier_TableS3
GIMAP4	hNK_Sp4	Crinier_TableS3
ZNF37A	hNK_Sp4	Crinier_TableS3
CLDND1	hNK_Sp4	Crinier_TableS3
ARMC1	hNK_Sp4	Crinier_TableS3
EOMES	hNK_Sp4	Crinier_TableS3
RP11-422P24.12	hNK_Sp4	Crinier_TableS3
NUP37	hNK_Sp4	Crinier_TableS3
DCLRE1C	hNK_Sp4	Crinier_TableS3
UTP6	hNK_Sp4	Crinier_TableS3
RPP30	hNK_Sp4	Crinier_TableS3
AREG	hNK_Sp4	Crinier_TableS3
RDH14	hNK_Sp4	Crinier_TableS3
FBXO9	hNK_Sp4	Crinier_TableS3
CBR4	hNK_Sp4	Crinier_TableS3
RP11-242D8.1	hNK_Sp4	Crinier_TableS3
S100A11	hNK_Sp4	Crinier_TableS3
RNU12	hNK_Sp4	Crinier_TableS3
ZNF397	hNK_Sp4	Crinier_TableS3
NAE1	hNK_Sp4	Crinier_TableS3
CUTC	hNK_Sp4	Crinier_TableS3
ADCK4	hNK_Sp4	Crinier_TableS3
ZNF680	hNK_Sp4	Crinier_TableS3
FH	hNK_Sp4	Crinier_TableS3
ZNF638	hNK_Sp4	Crinier_TableS3
CNOT8	hNK_Sp4	Crinier_TableS3
MPPE1	hNK_Sp4	Crinier_TableS3
RASSF4	hNK_Sp4	Crinier_TableS3
RP11-758H9.2	hNK_Sp4	Crinier_TableS3
DYNLL1	hNK_Sp4	Crinier_TableS3
MRPL1	hNK_Sp4	Crinier_TableS3
PSIP1	hNK_Sp4	Crinier_TableS3
ETFA	hNK_Sp4	Crinier_TableS3
TSPAN14	hNK_Sp4	Crinier_TableS3
HSH2D	hNK_Sp4	Crinier_TableS3
FGFBP2	hNK_Bl1	Crinier_TableS3
GZMB	hNK_Bl1	Crinier_TableS3
GZMA	hNK_Bl1	Crinier_TableS3
SPON2	hNK_Bl1	Crinier_TableS3
S100A4	hNK_Bl1	Crinier_TableS3
CST7	hNK_Bl1	Crinier_TableS3
FCGR3A	hNK_Bl1	Crinier_TableS3
IGFBP7	hNK_Bl1	Crinier_TableS3
GZMH	hNK_Bl1	Crinier_TableS3
CFL1	hNK_Bl1	Crinier_TableS3
ITGB2	hNK_Bl1	Crinier_TableS3
CYBA	hNK_Bl1	Crinier_TableS3
LGALS1	hNK_Bl1	Crinier_TableS3
CD247	hNK_Bl1	Crinier_TableS3
LAIR2	hNK_Bl1	Crinier_TableS3
PRF1	hNK_Bl1	Crinier_TableS3
DSTN	hNK_Bl1	Crinier_TableS3
KIR2DL3	hNK_Bl1	Crinier_TableS3
PTGDS	hNK_Bl1	Crinier_TableS3
GTF3C1	hNK_Bl1	Crinier_TableS3
EIF3B	hNK_Bl1	Crinier_TableS3
KLRD1	hNK_Bl1	Crinier_TableS3
TPM3	hNK_Bl1	Crinier_TableS3
CTSD	hNK_Bl1	Crinier_TableS3
LCP1	hNK_Bl1	Crinier_TableS3
CD164	hNK_Bl1	Crinier_TableS3
RBM38	hNK_Bl1	Crinier_TableS3
SAR1A	hNK_Bl1	Crinier_TableS3
ENC1	hNK_Bl1	Crinier_TableS3
ZEB2	hNK_Bl1	Crinier_TableS3
TLE1	hNK_Bl1	Crinier_TableS3
EMP3	hNK_Bl1	Crinier_TableS3
CD99	hNK_Bl1	Crinier_TableS3
GZMK	hNK_Bl2	Crinier_TableS3
CD44	hNK_Bl2	Crinier_TableS3
PPP1R14B	hNK_Bl2	Crinier_TableS3
CXCR3	hNK_Bl2	Crinier_TableS3
RPL36A	hNK_Bl2	Crinier_TableS3
SCML1	hNK_Bl2	Crinier_TableS3
COTL1	hNK_Bl2	Crinier_TableS3
NCF1	hNK_Bl2	Crinier_TableS3
XCL1	hNK_Bl2	Crinier_TableS3
HLA-DRB1	hNK_Bl2	Crinier_TableS3
CD83	hNK_Bl2	Crinier_TableS3
LTB	hNK_Bl2	Crinier_TableS3
ZFP36L2	hNK_Bl2	Crinier_TableS3
VIM	hNK_Bl2	Crinier_TableS3
CD82	hNK_Bl2	Crinier_TableS3
SPOCK2	hNK_Bl2	Crinier_TableS3
CMC1	hNK_Bl2	Crinier_TableS3
CNN2	hNK_Bl2	Crinier_TableS3
PDE4B	hNK_Bl2	Crinier_TableS3
IFRD1	hNK_Bl2	Crinier_TableS3
RGCC	hNK_Bl2	Crinier_TableS3
OCIAD2	hNK_Bl2	Crinier_TableS3
